"Country","States","City"
"India","Andhra Pradesh","Visakhapatnam"
"India","Andhra Pradesh","Vijayawada"
"India","Arunachal Pradesh","Itanagar"
"India","Assam","Guwahati"
"India","Assam"," Silchar"
"India","Bihar","Patna"
"India","Bihar"," Gaya"
"India","Chhattisgarh","Raipur"
"India","Chhattisgarh"," Bhilai Nagar"
"India","Goa","Panaji"
"India","Gujarat","Ahmedabad"
"India","Gujarat"," Surat"
"India","Haryana","Faridabad"
"India","Haryana"," Gurgaon"
"India","Himachal Pradesh","Shimla "
"India","Jammu and Kashmir","Srinagar"
"India","Jammu and Kashmir"," Jammu"
"India","Jharkhand","Dhanbad"
"India","Jharkhand"," Ranchi"
"India","Karnataka","Bangalore"
"India","Karnataka","Hubli and Dharwad"
"India","Kerala","Trivandrum"
"India","Kerala"," Kochi"
"India","Madhya Pradesh","Indore"
"India","Madhya Pradesh"," Bhopal"
"India","Maharashtra","Mumbai"
"India","Maharashtra"," Pune"
"India","Manipur","Imphal "
"India","Meghalaya","Shillong"
"India","Mizoram","Aizawl "
"India","Nagaland","Dimapur "
"India","Odisha","Bhubaneswar"
"India","Odisha"," Cuttack"
"India","Punjab","Ludhiana"
"India","Punjab"," Amritsar"
"India","Rajasthan ","Jaipur"
"India","Rajasthan "," Jodhpur"
"India","Sikkim ","Gangtok"
"India","Tamil Nadu ","Chennai"
"India","Tamil Nadu "," Coimbatore"
"India","Telangana","Hyderabad"
"India","Telangana"," Warangal"
"India","Tripura","Agartala"
"India","Uttar Pradesh","Lucknow"
"India","Uttar Pradesh"," Kanpur"
"India","Uttarakhand ","Dehradun"
"India","Uttarakhand "," Hardwar"
"India","West Bengal ","Kolkata"
"India","West Bengal "," Haora"
